Early Childhood Education		$35k
Elementary Education		$35k
Human Services		$34k
HS		$34k
Social Work		$34k
SW		$34k
Culinary Arts		$33k
CA		$33k
Youth Ministry		$33k
Pastoral Ministry		$33k
Child Development		$32k
